Drug,Country,Total_Observed,Total_Predicted
Clindamycin_I,Thailand,818,817.9999999999964
Clindamycin_I,Turkey,257,256.99999999999864
Clindamycin_I,Ukraine,18,17.999999999999964
Clindamycin_I,United Kingdom,210,209.99999999999903
Clindamycin_I,United States,1910,1909.9999999999889
Clindamycin_I,Venezuela,208,207.99999999999932
Clindamycin_I,Vietnam,6,5.999999999999979
Erythromycin_I,Argentina,599,599.0000000000002
Erythromycin_I,Australia,748,747.9999999999998
Erythromycin_I,Austria,417,417.00000000000125
Erythromycin_I,Belgium,1174,1174.0000000000043
Erythromycin_I,Brazil,761,760.9999999999998
Erythromycin_I,Canada,397,397.00000000000057
Erythromycin_I,Chile,933,933.0000000000025
Erythromycin_I,China,3082,3082.000000000007
Erythromycin_I,Colombia,454,453.9999999999999
Erythromycin_I,Costa Rica,57,57.00000000000021
Erythromycin_I,Croatia,127,126.99999999999996
Erythromycin_I,Czech Republic,996,995.9999999999999
Erythromycin_I,Denmark,342,342.00000000000006
Erythromycin_I,Dominican Republic,49,49.00000000000005
Erythromycin_I,Finland,19,18.999999999999943
Erythromycin_I,France,1711,1711.0000000000055
Erythromycin_I,Germany,1611,1611.0000000000005
Erythromycin_I,Greece,1112,1112.0000000000011
Erythromycin_I,Guatemala,106,106.00000000000023
Erythromycin_I,Hong Kong,228,228.00000000000006
Erythromycin_I,Hungary,1271,1271.0000000000016
Erythromycin_I,India,36,35.99999999999992
Erythromycin_I,Ireland,247,247.00000000000003
Erythromycin_I,Israel,1191,1191.0000000000034
Erythromycin_I,Italy,1893,1893.0000000000061
Erythromycin_I,Japan,874,874.0000000000008
Erythromycin_I,Jordan,49,48.99999999999994
Erythromycin_I,Kenya,102,102.0000000000003
Erythromycin_I,"Korea, South",1298,1298.000000000001
Erythromycin_I,Kuwait,1044,1043.9999999999982
Erythromycin_I,Latvia,47,47.000000000000036
Erythromycin_I,Lithuania,69,68.9999999999998
Erythromycin_I,Malaysia,362,362.0000000000004
Erythromycin_I,Mexico,1443,1442.9999999999943
Erythromycin_I,Morocco,47,46.99999999999984
Erythromycin_I,Netherlands,196,196.00000000000026
Erythromycin_I,Nigeria,94,94.0000000000001
Erythromycin_I,Pakistan,16,15.999999999999991
Erythromycin_I,Panama,42,41.99999999999981
Erythromycin_I,Philippines,541,540.9999999999997
Erythromycin_I,Poland,733,733.0000000000001
Erythromycin_I,Portugal,1549,1549.0000000000016
Erythromycin_I,Romania,375,375.00000000000017
Erythromycin_I,Russia,1107,1106.9999999999973
Erythromycin_I,Saudi Arabia,45,45.00000000000034
Erythromycin_I,Serbia,6,5.999999999999997
Erythromycin_I,Singapore,37,36.9999999999999
Erythromycin_I,South Africa,759,759.0000000000008
Erythromycin_I,Spain,2152,2152.0000000000036
Erythromycin_I,Sweden,138,138.00000000000003
Erythromycin_I,Switzerland,79,79.00000000000006
Erythromycin_I,Taiwan,1427,1427.0000000000048
Erythromycin_I,Thailand,1009,1009.0000000000002
Erythromycin_I,Turkey,706,706
Erythromycin_I,Ukraine,67,67.00000000000009
Erythromycin_I,United Kingdom,841,840.9999999999983
Erythromycin_I,United States,5872,5872.000000000003
Erythromycin_I,Venezuela,826,826.0000000000008
Erythromycin_I,Vietnam,6,6.0000000000000195
Levofloxacin_I,Argentina,1973,1973.0000000000193
Levofloxacin_I,Australia,718,718.0000000000007
Levofloxacin_I,Austria,694,694.0000000000082
Levofloxacin_I,Belgium,2835,2835.000000000028
Levofloxacin_I,Brazil,1786,1786.0000000000168
Levofloxacin_I,Canada,1179,1179.000000000012
Levofloxacin_I,Chile,2068,2068.0000000000123
Levofloxacin_I,China,4978,4978.000000000023
Levofloxacin_I,Colombia,1052,1052.000000000016
Levofloxacin_I,Costa Rica,57,57.000000000000234
Levofloxacin_I,Croatia,880,880.0000000000091
Levofloxacin_I,Czech Republic,1846,1846.0000000000198
Levofloxacin_I,Denmark,402,402.000000000005
Levofloxacin_I,Dominican Republic,55,55.00000000000041
Levofloxacin_I,Finland,94,94.00000000000023
Levofloxacin_I,France,4633,4633.000000000056
Levofloxacin_I,Germany,4874,4874.000000000073
Levofloxacin_I,Greece,2770,2770.0000000000273
Levofloxacin_I,Guatemala,544,544.0000000000025
Levofloxacin_I,Hong Kong,329,329.0000000000017
Levofloxacin_I,Hungary,2052,2052.00000000002
Levofloxacin_I,India,956,956.0000000000097
Levofloxacin_I,Ireland,625,625.0000000000038
Levofloxacin_I,Israel,2022,2022.0000000000182
Levofloxacin_I,Italy,8591,8591.000000000104
Levofloxacin_I,Japan,929,929.0000000000095
Levofloxacin_I,Jordan,200,200.00000000000108
Levofloxacin_I,Kenya,165,164.9999999999996
Levofloxacin_I,"Korea, South",2194,2194.0000000000214
Levofloxacin_I,Kuwait,1644,1644.0000000000177
Levofloxacin_I,Latvia,270,269.9999999999985
Levofloxacin_I,Lithuania,250,250.00000000000492
Levofloxacin_I,Malaysia,544,544.0000000000063
Levofloxacin_I,Mexico,3639,3639.000000000044
Levofloxacin_I,Morocco,300,300.0000000000042
Levofloxacin_I,Netherlands,547,547.0000000000064
Levofloxacin_I,Nigeria,529,529.000000000005
Levofloxacin_I,Pakistan,288,288.000000000002
Levofloxacin_I,Panama,388,388.00000000000347
Levofloxacin_I,Philippines,1363,1363.000000000013
Levofloxacin_I,Poland,1394,1394.0000000000132
Levofloxacin_I,Portugal,3056,3056.0000000000286
Levofloxacin_I,Romania,913,913.0000000000099
Levofloxacin_I,Russia,2994,2994.000000000037
Levofloxacin_I,Saudi Arabia,167,167.00000000000207
Levofloxacin_I,Serbia,80,80.000000000001
Levofloxacin_I,Singapore,125,125.00000000000115
Levofloxacin_I,South Africa,1453,1453.0000000000143
